project_id,offer_created_at,first_signed_at,country,energy_demand_wh,energy_price_per_wh,energy_price_increase,load_profile,has_ev,has_solar,has_storage,has_wallbox,heating_existing_electricity_demand_kwh,house_size_sqm,total_estimated_demand_kwh,option_id,total_pv_kwp,total_inverter_kw,total_battery_kwh
297be54c5e7e4aad,2024-06-25 13:50:22.593000,2024-06-27 08:00:36.791000,Germany,4500000.0,0.00045,0.03,H0,0,0,0,0,0.0,150.0,4500.0,1a659d6e5c393a7a,0.0,0.0,5.0
f1988c146fc377af,2024-07-03 06:53:05.238000,2024-07-05 08:36:02.940000,Germany,4000000.0,0.00032,0.03,H0,0,0,0,0,0.0,150.0,4000.0,011aeb9beef0e613,0.0,0.0,7.0
0b2d8927b7609c3d,2024-06-24 12:06:06.478000,2024-07-07 12:32:24.145000,Germany,2100000.0,0.00035,0.03,H0,0,0,0,0,0.0,150.0,2100.0,cb845af16f401fa2,0.0,0.0,5.0
98b53eaa68c0eeeb,2024-07-02 09:56:00.194000,2024-07-08 03:13:41.203000,Germany,6000000.0,0.00032,0.03,H0,1,0,0,0,0.0,150.0,8500.0,79ae1e39baa97233,0.0,0.0,15.0
00345f7fbc8fa732,2024-07-10 09:36:53.312000,2024-07-10 10:14:19.557000,Germany,5000000.0,0.00045,0.03,H0,0,0,0,0,0.0,150.0,5000.0,32a4fb76e0f369e8,0.0,0.0,3.5
a1a29117ea69fb33,2024-07-10 10:28:49.478000,2024-07-11 09:00:08.167000,Germany,3000000.0,0.00035,0.03,H0,0,0,0,0,0.0,150.0,3000.0,ef5bc6833f3927f9,0.0,0.0,7.0
02d42019ae465832,2024-07-10 10:54:51.607000,2024-07-12 13:09:30.098000,Germany,4500000.0,0.00045,0.03,H0,0,0,0,0,0.0,150.0,4500.0,c4386321d8a99a6a,0.0,0.0,5.0
967ede1849013e6b,2024-07-16 09:52:23.595000,2024-07-16 15:45:35.602000,Germany,3500000.0,0.00044,0.03,H0,0,0,0,0,0.0,150.0,3500.0,cad8773bf2a15dbb,0.0,0.0,5.0
167f6dec280368ec,2024-07-19 08:35:37.556000,2024-07-19 09:04:55.742000,Germany,3500000.0,0.00044,0.03,H0,0,0,0,0,0.0,150.0,3500.0,2e3737be8b668f16,0.0,0.0,5.0
abe89b70ad9dae1e,2024-07-11 09:45:58.265000,2024-07-19 14:06:49.744000,Germany,8000000.0,0.00032,0.03,H0,0,0,0,0,0.0,150.0,8000.0,24f11058389dbdc0,0.0,0.0,5.0
